a;w;x1_0;x2_0;x1;x2;f1;f2;f_calls
100;0;2.48566;4.15502;-2;-2;3200;1.30975e-14;162
100;0.01;0.181728;-4.57536;1.96079;1.96079;0.307519;0.313757;154
100;0.02;-6.32242;-3.36;1.98049;1.9805;0.0760903;0.316887;163
100;0.03;1.90906;-0.769288;1.98711;1.98711;0.033238;0.317941;128
100;0.04;-8.4836;8.72404;1.99042;1.99042;0.0183462;0.318469;167
100;0.05;7.87113;-9.26579;1.99242;1.99241;0.011506;0.318788;167
100;0.06;-6.31777;5.88849;1.99374;1.99374;0.00782956;0.319;164
100;0.07;6.32144;6.10006;1.99469;1.99469;0.00563508;0.319151;159
100;0.08;1.08026;2.21014;1.99541;1.99541;0.00422059;0.319265;129
100;0.09;7.02131;-2.46317;1.99596;1.99596;0.00326436;0.319354;158
100;0.1;-6.91129;1.03325;1.9964;1.9964;0.00258621;0.319425;153
100;0.11;9.9719;6.24638;1.99677;1.99677;0.00209194;0.319483;162
100;0.12;8.09473;-5.33192;1.99707;1.99707;0.00171932;0.319531;164
100;0.13;2.2041;5.79157;1.99732;1.99733;0.00143092;0.319572;137
100;0.14;0.347567;-9.58278;1.99754;1.99754;0.00120616;0.319607;157
100;0.15;-9.6467;-1.67686;1.99773;1.99774;0.0010256;0.319638;163
100;0.16;-3.86277;4.11316;1.9979;1.9979;0.000880699;0.319664;155
100;0.17;7.92421;-2.09396;1.99805;1.99805;0.000762251;0.319688;161
100;0.18;2.1081;9.84211;1.99818;1.99818;0.000664199;0.319708;139
100;0.19;-9.82355;-3.63557;1.99829;1.9983;0.000581912;0.319727;166
100;0.2;-6.87352;-5.84976;1.9984;1.9984;0.000512072;0.319744;166
100;0.21;0.962548;3.02176;1.99849;1.9985;0.000452466;0.319759;138
100;0.22;-2.81607;-7.47471;1.99858;1.99858;0.000401723;0.319773;163
100;0.23;-5.23009;-2.45112;1.99866;1.99866;0.000358826;0.319786;160
100;0.24;-9.31568;6.05373;1.99873;1.99874;0.000320408;0.319798;164
100;0.25;-6.75131;9.72216;1.9988;1.9988;0.00028802;0.319808;167
100;0.26;9.36891;1.40036;1.99886;1.99886;0.000259759;0.319818;148
100;0.27;-8.0213;-1.40783;1.99892;1.99892;0.000234192;0.319827;160
100;0.28;-8.5651;2.97712;1.99897;1.99897;0.000211416;0.319836;154
100;0.29;-7.15079;-8.33902;1.99902;1.99902;0.000192169;0.319843;169
100;0.3;1.98683;-0.632461;1.99907;1.99907;0.000173387;0.319851;117
100;0.31;7.5558;-6.52636;1.99911;1.99911;0.00015806;0.319858;167
100;0.32;-6.45827;1.46604;1.99915;1.99915;0.000144589;0.319864;150
100;0.33;1.25403;4.61933;1.99919;1.99919;0.000132094;0.31987;145
100;0.34;7.26145;3.10263;1.99923;1.99922;0.000120377;0.319876;152
100;0.35;-1.46183;7.26177;1.99926;1.99926;0.000109922;0.319881;155
100;0.36;-2.59785;-4.50876;1.99929;1.99929;0.000101296;0.319886;160
100;0.37;-9.81658;6.93596;1.99932;1.99932;9.28815e-05;0.319891;164
100;0.38;-9.51239;-7.4147;1.99935;1.99935;8.52658e-05;0.319896;169
100;0.39;9.34552;-4.74074;1.99937;1.99937;7.85405e-05;0.3199;164
100;0.4;-6.0434;1.82586;1.9994;1.9994;7.18951e-05;0.319904;138
100;0.41;-6.35976;0.889999;1.99942;1.99942;6.625e-05;0.319908;156
100;0.42;-9.71265;-1.33232;1.99945;1.99945;6.14254e-05;0.319911;160
100;0.43;-7.10116;1.36171;1.99947;1.99947;5.61549e-05;0.319915;150
100;0.44;2.41717;-0.640194;1.99949;1.99949;5.18474e-05;0.319919;139
100;0.45;8.70016;6.61891;1.99951;1.99951;4.784e-05;0.319922;162
100;0.46;1.4126;-7.87846;1.99953;1.99953;4.42373e-05;0.319925;150
100;0.47;5.96594;-0.899465;1.99955;1.99955;4.0597e-05;0.319928;155
100;0.48;-1.21375;3.53593;1.99957;1.99957;3.76371e-05;0.319931;148
100;0.49;-5.03018;-8.32057;1.99958;1.99958;3.46039e-05;0.319933;166
100;0.5;-4.4308;2.97137;1.9996;1.9996;3.19573e-05;0.319936;151
100;0.51;4.66402;-7.3716;1.99962;1.99962;2.94422e-05;0.319939;161
100;0.52;6.50296;7.59987;1.99963;1.99963;2.73434e-05;0.319941;162
100;0.53;-4.97905;3.19935;1.99964;1.99964;2.53678e-05;0.319943;154
100;0.54;-9.78195;4.35516;1.99966;1.99966;2.31012e-05;0.319946;158
100;0.55;-2.11268;3.96882;1.99967;1.99967;2.16265e-05;0.319947;152
100;0.56;-4.8686;6.64054;1.99968;1.99968;1.9929e-05;0.319949;161
100;0.57;5.06299;7.42234;1.9997;1.9997;1.81792e-05;0.319952;156
100;0.58;0.928361;-7.89152;1.99971;1.99971;1.67927e-05;0.319954;153
100;0.59;-9.18186;-1.84996;1.99972;1.99972;1.54722e-05;0.319955;163
100;0.6;-2.76523;1.31349;1.99973;1.99973;1.42292e-05;0.319957;144
100;0.61;1.23482;6.43593;1.99975;1.99974;1.30511e-05;0.319959;148
100;0.62;6.06618;0.00350244;1.99976;1.99976;1.18331e-05;0.319961;152
100;0.63;1.04944;3.47679;1.99977;1.99977;1.09871e-05;0.319962;141
100;0.64;5.77903;1.64049;1.99978;1.99978;9.99078e-06;0.319964;142
100;0.65;-6.32978;7.09966;1.99978;1.99979;9.22132e-06;0.319966;164
