w;l_0;d_0;l_opt;d_opt;mass;deflection;function_calls
0;0.617498;0.0378719;0.617498;0.0378719;5.42568;0.0037547;6
0.01;0.717168;0.0263581;0.2;0.0341404;1.42808;0.000193175;6703
0.02;0.966327;0.0157314;0.2;0.0354795;1.5423;0.000165623;13000
0.03;0.490018;0.0380829;0.490018;0.0380829;4.35369;0.00183507;6
0.04;0.217135;0.0316456;0.217135;0.0316456;1.33211;0.000334869;6
0.05;0.960002;0.030203;0.2;0.0255643;0.800723;0.000614459;4667
0.06;0.350218;0.0297329;0.2;0.0211308;0.547073;0.00131634;95
0.07;0.728252;0.0342353;0.2;0.020389;0.509339;0.0015186;4960
0.08;0.20594;0.0333391;0.20594;0.0333391;1.40227;0.000231923;6
0.09;0.381057;0.043578;0.381057;0.043578;4.43312;0.000503313;6
0.1;0.481887;0.013846;0.2;0.0296469;1.0769;0.000339711;5149
0.11;0.841234;0.0253738;0.2;0.0207292;0.526475;0.00142135;6603
0.12;0.914751;0.0260246;0.2;0.0257684;0.813562;0.000595218;22829
0.13;0.848963;0.0418129;0.2;0.0330355;1.33714;0.000220346;125
0.14;0.728098;0.0223523;0.2;0.0193197;0.457314;0.00188377;4949
0.15;0.467748;0.0449969;0.467748;0.0449969;5.80179;0.000818922;6
0.16;0.243942;0.0396702;0.243942;0.0396702;2.3518;0.000192282;107
0.17;0.607668;0.0251064;0.2;0.0310023;1.17761;0.000284088;2758
0.18;0.687914;0.0473865;0.687914;0.0473865;9.46296;0.00211798;113
0.19;0.646507;0.0491189;0.646507;0.0491189;9.55554;0.00152287;6
0.2;0.558585;0.0460763;0.558585;0.0460763;7.2649;0.00126851;107
0.21;0.77192;0.0405446;0.2;0.0294153;1.06013;0.000350538;1097
0.22;0.206246;0.043392;0.206246;0.043392;2.37897;8.11815e-05;6
0.23;0.688876;0.0190971;0.2;0.0196286;0.472056;0.00176795;11821
0.24;0.216554;0.0231474;0.216554;0.0231474;0.710814;0.00116045;6
0.25;0.204772;0.0286381;0.204772;0.0286381;1.02883;0.000418771;6
0.26;0.794211;0.0418509;0.2;0.0357402;1.56505;0.000160842;1374
0.27;0.811754;0.0359506;0.2;0.0208116;0.530672;0.00139896;3976
0.28;0.533553;0.011055;0.2;0.0220163;0.593884;0.001117;62850
0.29;0.547534;0.0348867;0.547534;0.0348867;4.08239;0.00363525;6
0.3;0.216879;0.027577;0.216879;0.027577;1.01041;0.000578634;6
0.31;0.958088;0.014435;0.2;0.0323459;1.28189;0.000239748;44327
0.32;0.520769;0.0321926;0.520769;0.0321926;3.3063;0.0043137;6
0.33;0.445466;0.0386923;0.445466;0.0386923;4.08552;0.00129385;6
0.34;0.434048;0.0254678;0.2;0.0210582;0.543324;0.00133457;3910
0.35;0.351845;0.0348925;0.351845;0.0348925;2.62421;0.000963971;6
0.36;0.443367;0.0268082;0.2;0.0214788;0.565242;0.00123307;1137
0.37;0.54964;0.0371598;0.54964;0.0371598;4.64953;0.00285681;6
0.38;0.792518;0.0142097;0.2;0.0276907;0.939469;0.000446367;19331
0.39;0.795132;0.0129094;0.2;0.0208971;0.535043;0.0013762;52694
0.4;0.423659;0.0133306;0.22859;0.0197991;0.548948;0.00254993;48988
0.41;0.504235;0.0331344;0.504235;0.0331344;3.39137;0.00348917;6
0.42;0.778735;0.028478;0.2;0.0197142;0.476183;0.00173744;9235
0.43;0.718698;0.0288356;0.2;0.0224709;0.618666;0.00102931;32580
0.44;0.472826;0.0410791;0.472826;0.0410791;4.88797;0.00121775;102
0.45;0.228816;0.0239002;0.228816;0.0239002;0.800709;0.00120446;6
0.46;0.898586;0.0413633;0.2;0.0301987;1.11735;0.000315557;2072
0.47;0.512336;0.0193997;0.2;0.0275612;0.930703;0.000454816;463
0.48;0.611069;0.0419968;0.611069;0.0419968;6.60249;0.00240626;110
0.49;0.603671;0.0237959;0.223261;0.019644;0.527787;0.00245163;14155
0.5;0.677724;0.0372235;0.2;0.0283688;0.986047;0.000405193;2743
0.51;0.881136;0.0477937;0.881136;0.0477937;12.3302;0.00430116;6
0.52;0.997519;0.0102333;0.2;0.0213524;0.558608;0.00126254;214519
0.53;0.832121;0.0234539;0.2;0.0262267;0.842754;0.000554697;152039
0.54;0.274383;0.0141498;0.294167;0.0215356;0.835785;0.00388231;95
0.55;0.984526;0.0136198;0.2;0.0299367;1.09805;0.000326748;51888
0.56;0.336488;0.0348134;0.336488;0.0348134;2.49831;0.000850863;6
0.57;0.964277;0.0409468;0.299281;0.0216597;0.86014;0.00399545;11225
0.58;0.630827;0.0339029;0.2;0.0203008;0.504942;0.00154517;2795
0.59;0.538162;0.0403379;0.538162;0.0403379;5.36443;0.00193119;6
0.6;0.601002;0.0352376;0.601002;0.0352376;4.57164;0.00461894;107
0.61;0.989693;0.0288998;0.2;0.0222362;0.605807;0.00107347;477255
